id;pickup_date;delivery_date;status
1;2025-08-17T06:29:23;2025-08-16T21:14:24;PENDING
2;2025-08-17T05:07:41;2025-08-17T13:15:12;DELIVERED
3;2025-08-16T18:38:03;2025-08-17T03:11:13;IN_TRANSIT
4;2025-08-17T02:57:31;2025-08-17T01:46:45;CONFIRMED
5;2025-08-17T02:43:33;2025-08-17T00:06:07;DELIVERED
6;2025-08-17T10:58:21;2025-08-17T00:46:52;PICKED_UP
7;2025-08-17T07:25:02;2025-08-16T21:49:29;PENDING
8;2025-08-16T23:39:25;2025-08-17T04:17:35;DELIVERED
9;2025-08-17T10:15:50;2025-08-17T06:57:05;IN_TRANSIT
10;2025-08-17T17:02:47;2025-08-17T06:36:40;REJECTED
