id;quantity;unit;price_per_unit;available_from;available_until;grade
1;7806.82;GRAM;501.51;2025-08-16T21:30:30;2025-08-17T10:47:14;A_GRADE
2;11155.64;PIECE;17506.5;2025-08-17T03:28:57;2025-08-17T03:20:44;C_GRADE
3;7292.07;KG;18517.67;2025-08-17T15:33:33;2025-08-17T17:25:04;B_GRADE
4;17503.64;KG;906.19;2025-08-17T10:59:13;2025-08-16T23:13:27;A_GRADE
5;25688.07;PIECE;5691.36;2025-08-16T20:53:21;2025-08-17T08:45:08;B_GRADE
6;29621.55;GRAM;3725.4;2025-08-17T00:52:17;2025-08-17T02:58:17;A_GRADE
7;18812.41;PIECE;5621.7;2025-08-17T02:29:28;2025-08-16T21:33:20;A_GRADE
8;31568.13;LITER;16915.37;2025-08-17T01:06:06;2025-08-17T02:02:12;C_GRADE
9;32616.11;PIECE;21583.86;2025-08-16T23:51:46;2025-08-17T16:02:13;B_GRADE
10;15007.74;PIECE;5341.32;2025-08-16T23:08:12;2025-08-17T04:17:35;C_GRADE
