id;order_date;status;total_amount;delivery_address;notes
1;2025-08-17T09:15:12;PICKED_UP;29603.24;warm sternly;up gee unless
2;2025-08-17T12:49:24;CONFIRMED;16795.6;versus;utterly
3;2025-08-17T03:49:16;IN_TRANSIT;13980.09;so awkwardly retention;versus hence though
4;2025-08-16T20:14:13;PICKED_UP;12852.62;mid lively reboot;certainly
5;2025-08-17T15:04:32;PICKED_UP;7674.62;on deceivingly;upward
6;2025-08-16T18:33:45;PENDING;18707.57;paintwork verve;putrefy steak pinion
7;2025-08-17T12:01:29;IN_TRANSIT;27297.31;psst;left gah
8;2025-08-17T10:18:36;CANCELLED;4965.89;cauliflower at;jam-packed blossom tempting
9;2025-08-17T10:25:50;PICKED_UP;3941.24;electronics whoever;avaricious
10;2025-08-16T18:18:37;CONFIRMED;30233.95;stable burly;distinct
